geo,origin_week,calendar_week,prediction_week,prediction_lead,actual,predicted,APE,model,lambda,n_nonzero_search,train_n,reporting_lag,transform,case_lags
MX,2019-04-28,2019-05-26,2019-05-05,1,933,813.9726338243513,12.757488336082389,argo,0.1088820652530825,0,226,4,log1p,"1,2,3,52,104"
MX,2019-04-28,2019-05-26,2019-05-12,2,1330,831.5911285181005,37.47435123924056,argo,0.1088820652530825,0,226,4,log1p,"1,2,3,52,104"
MX,2019-04-28,2019-05-26,2019-05-19,3,1349,852.2146886973375,36.82619060805504,argo,0.1088820652530825,0,226,4,log1p,"1,2,3,52,104"
MX,2019-04-28,2019-05-26,2019-05-26,4,1548,869.8466994663369,43.808352747652656,argo,0.1088820652530825,0,226,4,log1p,"1,2,3,52,104"
MX,2019-05-05,2019-06-02,2019-05-12,1,1330,745.7533011723781,43.92832322012195,ar,NA,0,227,4,log1p,"1,2,3,52,104"
MX,2019-05-05,2019-06-02,2019-05-19,2,1349,707.5257099419891,47.55183766182438,ar,NA,0,227,4,log1p,"1,2,3,52,104"
MX,2019-05-05,2019-06-02,2019-05-26,3,1548,700.4327494414308,54.75240636683264,ar,NA,0,227,4,log1p,"1,2,3,52,104"
MX,2019-05-05,2019-06-02,2019-06-02,4,1579,742.6931272973842,52.96433645995033,ar,NA,0,227,4,log1p,"1,2,3,52,104"
MX,2019-05-05,2019-06-02,2019-05-12,1,1330,933.0735924969221,29.844090789705106,argo,0.10747600645850279,0,227,4,log1p,"1,2,3,52,104"
MX,2019-05-05,2019-06-02,2019-05-19,2,1349,955.3077947567522,29.18400335383601,argo,0.10747600645850279,0,227,4,log1p,"1,2,3,52,104"
MX,2019-05-05,2019-06-02,2019-05-26,3,1548,964.4492815594042,37.697074834663816,argo,0.10747600645850279,0,227,4,log1p,"1,2,3,52,104"
MX,2019-05-05,2019-06-02,2019-06-02,4,1579,974.9487963738947,38.25530105295157,argo,0.10747600645850279,0,227,4,log1p,"1,2,3,52,104"
MX,2019-05-12,2019-06-09,2019-05-19,1,1349,1004.4852527677115,25.538528334491367,ar,NA,0,228,4,log1p,"1,2,3,52,104"
MX,2019-05-12,2019-06-09,2019-05-26,2,1548,910.2754271844135,41.196677830464246,ar,NA,0,228,4,log1p,"1,2,3,52,104"
MX,2019-05-12,2019-06-09,2019-06-02,3,1579,884.2524194426769,43.99921346151508,ar,NA,0,228,4,log1p,"1,2,3,52,104"
MX,2019-05-12,2019-06-09,2019-06-09,4,2882,896.6229339633853,68.88886419280412,ar,NA,0,228,4,log1p,"1,2,3,52,104"
